zip_code,br0,br1,br2,br3,br4,br0_adjusted,br1_adjusted,br2_adjusted,br3_adjusted,br4_adjusted
98119,924.0,1039.5,1270.5,1848.0,2205.0,1108.8,1247.3999999999999,1334.025,1663.2,2205.0
98109,1008.0,1134.0,1396.5,2037.0,2425.5,1209.6,1360.8,1466.325,1833.3,2425.5
98107,955.5,1081.5,1323.0,1932.0,2299.5,1146.6,1297.8,1389.15,1738.8,2299.5
98117,987.0,1113.0,1365.0,1984.5,2373.0,1184.3999999999999,1335.6,1433.25,1786.05,2373.0
98103,955.5,1081.5,1323.0,1932.0,2299.5,1146.6,1297.8,1389.15,1738.8,2299.5
98105,903.0,1018.5,1249.5,1816.5,2173.5,1083.6,1222.2,1311.9750000000001,1634.8500000000001,2173.5
98115,1008.0,1134.0,1396.5,2037.0,2425.5,1209.6,1360.8,1466.325,1833.3,2425.5
98101,934.5,1050.0,1291.5,1879.5,2247.0,1121.3999999999999,1260.0,1356.075,1691.55,2247.0
98122,871.5,987.0,1207.5,1764.0,2100.0,1045.8,1184.3999999999999,1267.875,1587.6000000000001,2100.0
98112,1029.0,1165.5,1428.0,2079.0,2478.0,1234.8,1398.6,1499.4,1871.1000000000001,2478.0
98144,787.5,882.0,1081.5,1575.0,1879.5,945.0,1058.3999999999999,1135.575,1417.5,1879.5
98121,1071.0,1207.5,1480.5,2152.5,2572.5,1285.2,1449.0,1554.525,1937.25,2572.5
98102,913.5,1029.0,1260.0,1837.5,2184.0,1096.2,1234.8,1323.0,1653.75,2184.0
98199,1018.5,1144.5,1407.0,2047.5,2446.5,1222.2,1373.3999999999999,1477.3500000000001,1842.75,2446.5
98104,735.0,829.5,1018.5,1480.5,1774.5,882.0,995.4,1069.425,1332.45,1774.5
98134,1008.0,1123.5,1386.0,2016.0,2404.5,1209.6,1348.2,1455.3,1814.4,2404.5
98136,976.5,1102.5,1354.5,1974.0,2352.0,1171.8,1323.0,1422.2250000000001,1776.6000000000001,2352.0
98126,934.5,1050.0,1291.5,1879.5,2247.0,1121.3999999999999,1260.0,1356.075,1691.55,2247.0
98146,840.0,945.0,1165.5,1701.0,2026.5,1008.0,1134.0,1223.775,1530.9,2026.5
98116,976.5,1102.5,1354.5,1974.0,2352.0,1171.8,1323.0,1422.2250000000001,1776.6000000000001,2352.0
98177,1144.5,1291.5,1585.5,2310.0,2751.0,1373.3999999999999,1549.8,1664.775,2079.0,2751.0
98118,808.5,913.5,1123.5,1638.0,1953.0,970.1999999999999,1096.2,1179.675,1474.2,1953.0
98108,798.0,892.5,1102.5,1606.5,1911.0,957.5999999999999,1071.0,1157.625,1445.8500000000001,1911.0
98133,850.5,955.5,1176.0,1711.5,2047.5,1020.5999999999999,1146.6,1234.8,1540.3500000000001,2047.5
98106,871.5,987.0,1207.5,1764.0,2100.0,1045.8,1184.3999999999999,1267.875,1587.6000000000001,2100.0
98178,882.0,987.0,1218.0,1774.5,2121.0,1058.3999999999999,1184.3999999999999,1278.9,1597.05,2121.0
98125,819.0,924.0,1134.0,1648.5,1974.0,982.8,1108.8,1190.7,1483.65,1974.0
